"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1973,0,1,0,4,0,0,0,1,1e+06,1e+06,1,"Hostage Taking (Kidnapping)","Business","Argentina","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,3,0,0,0,0,0,0,0,"Armed Assault","Educational Institution","Argentina","Firearms","Handgun","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Government (Diplomatic)","United States","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,3,0,0,0,-99,0,0,0,"Armed Assault","Government (Diplomatic)","Uruguay","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,6,0,0,0,-99,0,0,0,"Armed Assault","Airports & Aircraft","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Journalists & Media","Argentina","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Military","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,30,0,0,1,0,0,0,0,"Armed Assault","Journalists & Media","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,2,168000,0,2,"Hostage Taking (Kidnapping)","Business","United States","Unknown","Unknown","South America","National Liberation Army of Colombia (ELN)"
1973,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Police","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,3,1e+07,0,3,"Hostage Taking (Kidnapping)","Business","United States","Unknown","Unknown","South America","National Liberation Army of Colombia (ELN)"
1973,0,1,0,4,0,0,0,1,1145000,1150000,1,"Hostage Taking (Kidnapping)","Business","Denmark","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,2,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Germany","Unknown","Unknown","South America","Red Flag (Venezuela)"
1973,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Business","United States","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,3,0,0,0,1,14200000,14200000,1,"Hostage Taking (Kidnapping)","Business","United States","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,3,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Business","Argentina","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,8,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
