"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
2013,1,1,1,4,0,8,0,0,0,0,0,"Bombing/Explosion","Police","Syria","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Al-Nusrah Front"
2013,0,1,0,4,0,1,0,1,0,0,0,"Hostage Taking (Kidnapping)","Private Citizens & Property","Turkey","Unknown","Unknown","Middle East & North Africa","Other"
2013,1,1,0,4,0,5,15,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,4.5,10.5,0,0,0,0,"Bombing/Explosion","Business","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,4.5,10.5,0,0,0,0,"Bombing/Explosion","Business","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,4,9,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,5,16,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,1,7,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,2,7,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,1,8,0,0,0,0,"Bombing/Explosion","Religious Figures/Institutions","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,1,10,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,1,1,0,3,7,0,0,0,0,"Bombing/Explosion","Military","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,5,15,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,5,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Business","Turkey","Unknown","Unknown","Middle East & North Africa","Kurdistan Workers' Party (PKK)"
2013,0,1,1,1,0,5,4,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,1,2,0,4,18,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Syria","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,1,1,0,23,28,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,1,1,0,6,18,0,0,0,0,"Bombing/Explosion","Business","Iraq","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,4.5,12,0,0,0,0,"Bombing/Explosion","Business","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,4.5,12,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,3,9,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,3,9,0,0,0,0,"Bombing/Explosion","Police","Iraq","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,5,16,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,4,15,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,2,12,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,3,13,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,3,6,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,1,1,0,5,17,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,0,3,0,0,0,0,"Bombing/Explosion","Business","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,4,0,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,3,20,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,2,0,1,0,0,0,0,0,"Armed Assault","Government (General)","Yemen","Firearms","Unknown Gun Type","Middle East & North Africa","Al-Qaida in the Arabian Peninsula (AQAP)"
2013,0,1,0,4,0,5,0,5,0,0,0,"Hostage Taking (Barricade Incident)","Police","Iraq","Firearms","Unknown Gun Type","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,2,1,0,0,0,0,"Bombing/Explosion","Business","Algeria","Explosives/Bombs/Dynamite","Other Explosive Type","Middle East & North Africa","Al-Qaida in the Islamic Maghreb (AQIM)"
2013,0,1,0,4,0,0,0,3,0,0,3,"Hostage Taking (Kidnapping)","Business","Turkey","Unknown","Unknown","Middle East & North Africa","Kurdistan Workers' Party (PKK)"
2013,1,1,0,4,0,5,11,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,1,1,0,6,11,0,0,0,0,"Bombing/Explosion","Other","Iraq","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,4,0,1,3,0,0,0,0,"Bombing/Explosion","Business","Syria","Explosives/Bombs/Dynamite","Projectile (rockets, mortars, RPGs, etc.)","Middle East & North Africa","Free Syrian Army"
2013,1,1,0,4,0,2.67,3.34,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,2.66,3.33,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
